X.1,Taylor rule-implied policy rate (assuming 1.25% real natural rate),Taylor rule-implied policy rate (assuming 1.8% real natural rate),RBI effective policy rate*
Jun-12,13.47,14.02,8
Jul-12,13.44,13.99,8
Aug-12,13.62,14.17,8
Sep-12,12.8,13.35,8
Oct-12,12.17,12.72,8
Nov-12,12.59,13.14,8
Dec-12,13.92,14.47,8
Jan-13,13.23,13.78,7.935483871
Feb-13,13.63,14.18,7.75
Mar-13,12.4,12.95,7.60483871
Apr-13,10.97,11.52,7.475
May-13,10.87,11.42,7.25
Jun-13,12.53,13.08,7.25
Jul-13,12.93,13.48,7.25
Aug-13,13.22,13.77,10.25
Sep-13,14,14.55,9.975
Oct-13,14.47,15.02,7.564516129
Nov-13,15.52,16.07,7.75
Dec-13,12.44,12.99,7.75
Jan-14,11.15,11.7,7.822580645
Feb-14,10.07,10.62,8
Mar-14,10.62,11.17,8
Apr-14,10.96,11.51,8
May-14,10.74,11.29,8
Jun-14,8.41,8.96,8
Jul-14,9.34,9.89,8
Aug-14,8.8,9.35,8
Sep-14,6.7,7.25,8
Oct-14,5.19,5.74,8
Nov-14,3.16,3.71,8
Dec-14,4.67,5.22,8
Jan-15,6.03,6.58,7.822580645
Feb-15,6.3,6.85,7.732142857
Mar-15,6.13,6.68,7.5
Apr-15,5.56,6.11,7.5
May-15,5.77,6.32,7.467741935
Jun-15,6.35,6.9,7.25
Jul-15,3.79,4.34,7.25
Aug-15,3.86,4.41,7.25
Sep-15,4.87,5.42,7.133333333
Oct-15,5.75,6.3,6.75
Nov-15,6.37,6.92,6.75
Dec-15,6.67,7.22,6.75
Jan-16,6.79,7.34,6.75
Feb-16,6.64,7.19,6.75
Mar-16,6,6.55,6.741935484
Apr-16,6.96,7.51,6.5
May-16,7.4,7.95,6.5
Jun-16,7.41,7.96,6.5
Jul-16,7.86,8.41,6.5
Aug-16,6.33,6.88,6.5
Sep-16,5.22,5.77,6.483333333
Oct-16,5.05,5.6,6.25
Nov-16,4.2,4.75,6.25
Dec-16,3.86,4.41,6.25
Jan-17,3.5,4.05,6.25
Feb-17,4.22,4.77,6.25
Mar-17,4.58,5.13,5.75
Apr-17,3.73,4.28,6
May-17,null,null,6