Date,CPI-2001,CPI-1982,CPI-1960,CPI-AG-1987,CPI-AG-1961,CPI-RURAL-LABOR-2001,CPI-RURAL-LABOR-1987
10/31/2018,302,-,-,913,-,-,920
9/30/2018,301,-,-,910,-,-,917
8/31/2018,301,-,-,907,-,-,915
7/31/2018,301,-,-,902,-,-,910
6/30/2018,291,-,-,894,-,-,902
5/31/2018,289,-,-,891,-,-,899
4/30/2018,288,-,-,888,-,-,896
3/31/2018,287,-,-,887,-,-,894
2/28/2018,287,-,-,889,-,-,896
1/31/2018,288,-,-,895,-,-,901
12/31/2017,286,-,-,900,-,-,906
11/30/2017,288,-,-,905,-,-,910
10/31/2017,287,-,-,901,-,-,907
9/30/2017,285,-,-,893,-,-,899
8/31/2017,285,-,-,894,-,-,900
7/31/2017,285,-,-,884,-,-,890
6/30/2017,280,-,-,877,-,-,884
5/31/2017,278,-,-,872,-,-,878
4/30/2017,277,-,-,870,-,-,876
3/31/2017,275,-,-,866,-,-,872
2/28/2017,274,-,-,869,-,-,874
1/31/2017,274,-,-,870,-,-,876
12/31/2016,275,-,-,876,-,-,881
11/30/2016,277,-,-,878,-,-,883
10/31/2016,278,-,-,876,-,-,881
9/30/2016,277,-,-,873,-,-,877
8/31/2016,278,-,-,876,-,-,881
7/31/2016,280,-,-,877,-,-,881
6/30/2016,277,-,-,869,-,-,874
5/31/2016,275,-,-,860,-,-,866
4/30/2016,271,-,-,848,-,-,854
3/31/2016,268,-,-,843,-,-,848
2/29/2016,267,-,-,843,-,-,849
1/31/2016,269,-,-,849,-,854,854
12/31/2015,269,-,-,853,-,-,857
11/30/2015,270,-,-,853,-,-,857
10/31/2015,269,-,-,849,-,-,853
9/30/2015,266,-,-,839,-,-,843
8/31/2015,264,-,-,832,-,-,836
7/31/2015,263,-,-,822,-,-,827
6/30/2015,261,-,-,820,-,-,824
5/31/2015,258,-,-,811,-,-,816
4/30/2015,256,-,-,805,-,-,809
3/31/2015,254,-,-,803,-,-,807
2/28/2015,253,-,-,803,-,-,806
1/31/2015,254,-,-,804,-,-,808
12/31/2014,253,-,-,807,-,-,810
11/30/2014,253,-,-,813,-,-,816
10/31/2014,253,-,-,813,-,-,815
9/30/2014,253,-,-,811,-,-,813
8/31/2014,253,-,-,808,-,-,810
7/31/2014,252,-,-,799,-,-,801
6/30/2014,246,-,-,785,-,-,787
5/31/2014,244,-,-,777,-,-,780
4/30/2014,242,-,-,771,-,-,773
3/31/2014,239,-,-,763,-,-,765
2/28/2014,238,-,-,757,-,-,759
1/31/2014,237,-,-,757,-,-,759
12/31/2013,239,-,-,765,-,-,766
11/30/2013,243,-,-,777,-,-,777
10/31/2013,241,-,-,766,-,-,766
9/30/2013,238,-,-,759,-,-,759
8/31/2013,237,-,-,754,-,-,753
7/31/2013,235,-,-,740,-,-,741
6/30/2013,231,-,-,729,-,-,730
5/31/2013,228,-,-,719,-,-,720
4/30/2013,226,-,-,711,-,-,711
3/31/2013,224,-,-,704,-,-,705
2/28/2013,223,-,-,700,-,-,701
1/31/2013,221,-,-,694,-,-,695
12/31/2012,219,-,-,688,-,-,689
11/30/2012,218,-,-,685,-,-,686
10/31/2012,217,-,-,680,-,-,681
9/30/2012,215,-,-,673,-,-,675
8/31/2012,214,-,-,666,-,-,667
7/31/2012,212,-,-,656,-,-,658
6/30/2012,208,-,-,646,-,-,648
5/31/2012,206,-,-,638,-,-,640
4/30/2012,205,-,-,633,-,-,634
3/31/2012,201,-,-,625,-,-,626
2/29/2012,199,-,-,621,-,-,623
1/31/2012,198,-,-,618,-,-,619
12/31/2011,197,-,-,618,-,-,619
11/30/2011,199,-,-,621,-,-,621
10/31/2011,198,-,-,619,-,-,620
9/30/2011,197,-,-,615,-,-,614
8/31/2011,194,-,-,610,-,-,610
7/31/2011,193,-,-,604,-,-,604
6/30/2011,189,-,-,598,-,-,597
5/31/2011,187,-,-,592,-,-,592
4/30/2011,186,-,-,587,-,-,587
3/31/2011,185,-,-,585,-,-,584
2/28/2011,185,-,-,584,-,-,584
1/31/2011,188,-,-,589,-,-,588
12/31/2010,185,-,-,581,-,-,580
11/30/2010,182,-,-,570,-,-,569
10/31/2010,181,-,-,566,-,-,565
9/30/2010,179,-,-,562,-,-,562
8/31/2010,178,-,-,557,-,-,556
7/31/2010,178,-,-,554,-,-,554
6/30/2010,174,-,-,547,-,-,547
5/31/2010,172,-,-,540,-,-,540
4/30/2010,170,-,-,538,-,-,538
3/31/2010,170,-,-,536,-,-,536
2/28/2010,170,-,-,538,-,-,538
1/31/2010,172,-,-,542,-,-,541
12/31/2009,169,-,-,538,-,-,537
11/30/2009,168,-,-,532,-,-,532
10/31/2009,165,-,-,522,-,-,521
9/30/2009,163,-,-,515,-,-,514
8/31/2009,162,-,-,508,-,-,507
7/31/2009,160,-,-,499,-,-,498
6/30/2009,153,-,-,484,-,-,484
5/31/2009,151,-,-,475,-,-,475
4/30/2009,150,-,-,468,-,-,468
3/31/2009,148,-,-,463,-,-,464
2/28/2009,148,-,-,462,-,-,462
1/31/2009,148,-,-,461,-,-,461
12/31/2008,147,-,-,459,-,-,459
11/30/2008,148,-,-,460,-,-,460
10/31/2008,148,-,-,459,-,-,459
9/30/2008,146,-,-,455,-,-,455
8/31/2008,145,-,-,450,-,-,450
7/31/2008,143,-,-,442,-,-,442
6/30/2008,140,-,-,434,-,-,435
5/31/2008,139,-,-,431,-,-,431
4/30/2008,138,-,-,429,-,-,429
3/31/2008,137,-,-,423,-,-,423
2/29/2008,135,-,-,417,-,-,417
1/31/2008,134,-,-,413,-,-,414
12/31/2007,134,-,-,413,-,-,413
11/30/2007,134,-,-,414,-,-,414
10/31/2007,134,-,-,413,-,-,413
9/30/2007,133,-,-,410,-,-,410
8/31/2007,133,-,-,408,-,-,408
7/31/2007,132,-,-,404,-,-,404
6/30/2007,130,-,-,399,-,-,400
5/31/2007,129,-,-,395,-,-,396
4/30/2007,128,-,-,394,-,-,395
3/31/2007,127,-,-,392,-,-,393
2/28/2007,128,-,-,392,-,-,393
1/31/2007,127,-,-,391,-,-,391
12/31/2006,127,-,-,390,-,-,391
11/30/2006,127,-,-,390,-,-,391
10/31/2006,127,-,-,386,-,-,387
9/30/2006,125,-,-,380,-,-,381
8/31/2006,124,-,-,375,-,-,376
7/31/2006,124,-,-,372,-,-,374
6/30/2006,123,-,-,370,-,-,372
5/31/2006,121,-,-,365,-,-,367
4/30/2006,120,-,-,360,-,-,362
3/31/2006,119,-,-,358,-,-,360
2/28/2006,119,-,-,357,-,-,359
1/31/2006,119,-,-,357,-,-,359
12/31/2005,-,550,-,358,-,-,361
11/30/2005,-,553,-,360,-,-,362
10/31/2005,-,548,-,356,-,-,358
9/30/2005,-,542,-,354,-,-,356
8/31/2005,-,540,-,352,-,-,354
7/31/2005,-,538,-,350,-,-,353
6/30/2005,-,529,-,345,-,-,347
5/31/2005,-,527,-,343,-,-,345
4/30/2005,-,529,-,341,-,-,344
3/31/2005,-,525,-,340,-,-,342
2/28/2005,-,525,-,340,-,-,343
1/31/2005,-,526,-,341,-,-,343
12/31/2004,-,521,-,342,-,-,344
11/30/2004,-,525,-,344,-,-,346
10/31/2004,-,526,-,345,-,-,347
9/30/2004,-,523,-,343,-,-,345
8/31/2004,-,522,-,341,-,-,343
7/31/2004,-,517,-,338,-,-,340
6/30/2004,-,512,-,336,-,-,338
5/31/2004,-,508,-,333,-,-,335
4/30/2004,-,504,-,331,-,-,334
3/31/2004,-,504,-,332,-,-,334
2/29/2004,-,504,-,332,-,-,335
1/31/2004,-,504,-,332,-,-,334
12/31/2003,-,502,-,332,-,-,334
11/30/2003,-,504,-,333,-,-,335
10/31/2003,-,503,-,333,-,-,335
9/30/2003,-,499,-,332,-,-,334
8/31/2003,-,499,-,331,-,-,333
7/31/2003,-,501,-,331,-,-,334
6/30/2003,-,497,-,330,-,-,332
5/31/2003,-,494,-,327,-,-,329
4/30/2003,-,493,-,326,-,-,328
3/31/2003,-,487,-,324,-,-,326
2/28/2003,-,484,-,322,-,-,324
1/31/2003,-,483,-,320,-,-,322
12/31/2002,-,484,-,321,-,-,324
11/30/2002,-,489,-,323,-,-,326
10/31/2002,-,487,-,322,-,-,324
9/30/2002,-,485,-,321,-,-,323
8/31/2002,-,484,-,319,-,-,321
7/31/2002,-,481,-,316,-,-,319
6/30/2002,-,476,-,314,-,-,317
5/31/2002,-,472,-,311,-,-,313
4/30/2002,-,469,-,309,-,-,312
3/31/2002,-,468,-,309,-,-,311
2/28/2002,-,466,-,308,-,-,311
1/31/2002,-,467,-,308,-,-,311
12/31/2001,-,469,-,312,-,-,314
11/30/2001,-,472,-,313,-,-,316
10/31/2001,-,468,-,313,-,-,315
9/30/2001,-,465,-,311,-,-,313
8/31/2001,-,466,-,312,-,-,314
7/31/2001,-,463,-,309,-,-,311
6/30/2001,-,457,-,306,-,-,309
5/31/2001,-,451,-,303,-,-,306
4/30/2001,-,448,-,301,-,-,303
3/31/2001,-,445,-,300,-,-,302
2/28/2001,-,443,-,299,-,-,301
1/31/2001,-,445,-,301,-,-,303
12/31/2000,-,446,-,303,-,-,306
11/30/2000,-,450,-,306,-,-,308
10/31/2000,-,449,-,305,-,-,307
9/30/2000,-,444,-,306,-,-,308
8/31/2000,-,443,-,308,-,-,309
7/31/2000,-,445,-,310,-,-,311
6/30/2000,-,442,-,310,-,-,311
5/31/2000,-,440,-,310,-,-,311
4/30/2000,-,438,-,307,-,-,308
3/31/2000,-,434,-,306,-,-,307
2/29/2000,-,430,-,306,-,-,307
1/31/2000,-,431,-,307,-,-,308
12/31/1999,-,431,-,311,-,-,311
11/30/1999,-,438,-,316,-,-,316
10/31/1999,-,437,-,315,-,-,315
9/30/1999,-,429,-,310,-,-,310
8/31/1999,-,426,-,308,-,-,308
7/31/1999,-,424,-,304,-,-,305
6/30/1999,-,420,-,301,-,-,302
5/31/1999,-,419,-,298,-,-,299
4/30/1999,-,415,-,295,-,-,296
3/31/1999,-,414,-,296,-,-,296
2/28/1999,-,415,-,297,-,-,298
1/31/1999,-,420,-,299,-,-,299
12/31/1998,-,429,-,305,-,-,306
11/30/1998,-,438,-,310,-,-,310
10/31/1998,-,433,-,304,-,-,305
9/30/1998,-,420,-,297,-,-,298
8/31/1998,-,413,-,293,-,-,294
7/31/1998,-,411,-,289,-,-,290
6/30/1998,-,399,-,282,-,-,283
5/31/1998,-,389,-,276,-,-,277
4/30/1998,-,383,-,273,-,-,275
3/31/1998,-,380,-,272,-,-,273
2/28/1998,-,382,-,273,-,-,275
1/31/1998,-,384,-,274,-,-,275
12/31/1997,-,372,-,265,-,-,267
11/30/1997,-,366,-,262,-,-,264
10/31/1997,-,365,-,263,-,-,264
9/30/1997,-,361,-,263,-,-,264
8/31/1997,-,359,-,262,-,-,264
7/31/1997,-,358,-,261,-,-,263
6/30/1997,-,355,-,259,-,-,260
5/31/1997,-,352,-,258,-,-,260
4/30/1997,-,354,-,261,-,-,262
3/31/1997,-,351,-,262,-,-,262
2/28/1997,-,350,-,263,-,-,264
1/31/1997,-,350,-,262,-,-,263
12/31/1996,-,350,-,263,-,-,264
11/30/1996,-,349,-,262,-,-,262
10/31/1996,-,346,-,260,-,-,260
9/30/1996,-,344,-,259,-,-,259
8/31/1996,-,343,-,256,-,-,257
7/31/1996,-,339,-,252,-,-,253
6/30/1996,-,333,-,247,-,-,247
5/31/1996,-,328,-,243,-,-,243
4/30/1996,-,324,-,240,-,-,241
3/31/1996,-,319,-,237,-,-,238
2/29/1996,-,316,-,236,-,-,236
1/31/1996,-,315,-,236,-,-,237
12/31/1995,-,317,-,238,-,-,238
11/30/1995,-,321,-,240,-,-,240
10/31/1995,-,319,-,-,1411,-,-
9/30/1995,-,317,-,-,1413,-,-
8/31/1995,-,315,-,-,1405,-,-
7/31/1995,-,313,-,-,1387,-,-
6/30/1995,-,306,-,-,1337,-,-
5/31/1995,-,300,-,-,1316,-,-
4/30/1995,-,295,-,-,1306,-,-
3/31/1995,-,293,-,-,1300,-,-
2/28/1995,-,291,-,-,1301,-,-
1/31/1995,-,289,-,-,1292,-,-
12/31/1994,-,289,-,-,1297,-,-
11/30/1994,-,291,-,-,1285,-,-
10/31/1994,-,289,-,-,1265,-,-
9/30/1994,-,288,-,-,1251,-,-
8/31/1994,-,284,-,-,1231,-,-
7/31/1994,-,281,-,-,1211,-,-
6/30/1994,-,277,-,-,1189,-,-
5/31/1994,-,272,-,-,1175,-,-
4/30/1994,-,269,-,-,1165,-,-
3/31/1994,-,267,-,-,1175,-,-
2/28/1994,-,265,-,-,1166,-,-
1/31/1994,-,263,-,-,1166,-,-
12/31/1993,-,264,-,-,1166,-,-
11/30/1993,-,265,-,-,1156,-,-
10/31/1993,-,262,-,-,1134,-,-
9/30/1993,-,259,-,-,1113,-,-
8/31/1993,-,256,-,-,1088,-,-
7/31/1993,-,253,-,-,1068,-,-
6/30/1993,-,250,-,-,1057,-,-
5/31/1993,-,246,-,-,1038,-,-
4/30/1993,-,245,-,-,1039,-,-
3/31/1993,-,243,-,-,1053,-,-
2/28/1993,-,242,-,-,1058,-,-
1/31/1993,-,241,-,-,1066,-,-
12/31/1992,-,243,-,-,1067,-,-
11/30/1992,-,244,-,-,1085,-,-
10/31/1992,-,244,-,-,1099,-,-
9/30/1992,-,243,-,-,1112,-,-
8/31/1992,-,242,-,-,1114,-,-
7/31/1992,-,242,-,-,1090,-,-
6/30/1992,-,236,-,-,1068,-,-
5/31/1992,-,234,-,-,1058,-,-
4/30/1992,-,231,-,-,1046,-,-
3/31/1992,-,229,-,-,1046,-,-
2/29/1992,-,229,-,-,1038,-,-
1/31/1992,-,228,-,-,1015,-,-
12/31/1991,-,225,-,-,1008,-,-
11/30/1991,-,225,-,-,999,-,-
10/31/1991,-,223,-,-,990,-,-
9/30/1991,-,221,-,-,975,-,-
8/31/1991,-,217,-,-,936,-,-
7/31/1991,-,214,-,-,904,-,-
6/30/1991,-,209,-,-,876,-,-
5/31/1991,-,204,-,-,854,-,-
4/30/1991,-,202,-,-,853,-,-
3/31/1991,-,201,-,-,858,-,-
2/28/1991,-,202,-,-,861,-,-
1/31/1991,-,202,-,-,843,-,-
12/31/1990,-,199,-,-,828,-,-
11/30/1990,-,198,-,-,824,-,-
10/31/1990,-,195,-,-,804,-,-
9/30/1990,-,191,-,-,792,-,-
8/31/1990,-,190,-,-,791,-,-
7/31/1990,-,189,-,-,780,-,-
6/30/1990,-,185,-,-,759,-,-
5/31/1990,-,182,-,-,751,-,-
4/30/1990,-,180,-,-,744,-,-
3/31/1990,-,177,-,-,736,-,-
2/28/1990,-,175,-,-,734,-,-
1/31/1990,-,174,-,-,740,-,-
12/31/1989,-,175,-,-,753,-,-
11/30/1989,-,176,-,-,760,-,-
10/31/1989,-,176,-,-,777,-,-
9/30/1989,-,176,-,-,772,-,-
8/31/1989,-,174,-,-,756,-,-
7/31/1989,-,172,-,-,746,-,-
6/30/1989,-,170,-,-,736,-,-
5/31/1989,-,169,-,-,727,-,-
4/30/1989,-,167,-,-,721,-,-
3/31/1989,-,166,-,-,729,-,-
2/28/1989,-,165,-,-,726,-,-
1/31/1989,-,165,-,-,739,-,-
12/31/1988,-,166,-,-,741,-,-
11/30/1988,-,168,-,-,737,-,-
10/31/1988,-,167,-,-,724,-,-
9/30/1988,-,-,806,-,710,-,-
8/31/1988,-,-,800,-,705,-,-
7/31/1988,-,-,795,-,691,-,-
6/30/1988,-,-,782,-,671,-,-
5/31/1988,-,-,771,-,667,-,-
4/30/1988,-,-,763,-,661,-,-
3/31/1988,-,-,753,-,658,-,-
2/29/1988,-,-,749,-,655,-,-
1/31/1988,-,-,753,-,657,-,-
12/31/1987,-,-,752,-,654,-,-
11/30/1987,-,-,755,-,655,-,-
10/31/1987,-,-,750,-,653,-,-
9/30/1987,-,-,745,-,649,-,-
8/31/1987,-,-,736,-,621,-,-
7/31/1987,-,-,724,-,604,-,-
6/30/1987,-,-,715,-,588,-,-
5/31/1987,-,-,703,-,579,-,-
4/30/1987,-,-,691,-,572,-,-
3/31/1987,-,-,686,-,573,-,-
2/28/1987,-,-,686,-,573,-,-
1/31/1987,-,-,688,-,573,-,-
12/31/1986,-,-,688,-,579,-,-
11/30/1986,-,-,692,-,585,-,-
10/31/1986,-,-,685,-,586,-,-
9/30/1986,-,-,676,-,579,-,-
8/31/1986,-,-,672,-,576,-,-
7/31/1986,-,-,668,-,570,-,-
6/30/1986,-,-,658,-,561,-,-
5/31/1986,-,-,651,-,555,-,-
4/30/1986,-,-,643,-,555,-,-
3/31/1986,-,-,638,-,556,-,-
2/28/1986,-,-,633,-,552,-,-
1/31/1986,-,-,629,-,553,-,-
12/31/1985,-,-,630,-,557,-,-
11/30/1985,-,-,630,-,561,-,-
10/31/1985,-,-,625,-,559,-,-
9/30/1985,-,-,619,-,555,-,-
8/31/1985,-,-,618,-,551,-,-
7/31/1985,-,-,615,-,540,-,-
6/30/1985,-,-,606,-,530,-,-
5/31/1985,-,-,600,-,524,-,-
4/30/1985,-,-,594,-,518,-,-
3/31/1985,-,-,586,-,517,-,-
2/28/1985,-,-,585,-,522,-,-
1/31/1985,-,-,588,-,523,-,-
12/31/1984,-,-,588,-,522,-,-
11/30/1984,-,-,595,-,530,-,-
10/31/1984,-,-,592,-,530,-,-
9/30/1984,-,-,589,-,530,-,-
8/31/1984,-,-,586,-,530,-,-
7/31/1984,-,-,585,-,524,-,-
6/30/1984,-,-,574,-,511,-,-
5/31/1984,-,-,562,-,508,-,-
4/30/1984,-,-,559,-,510,-,-
3/31/1984,-,-,558,-,514,-,-
2/29/1984,-,-,561,-,519,-,-
1/31/1984,-,-,563,-,523,-,-
12/31/1983,-,-,559,-,521,-,-
11/30/1983,-,-,561,-,529,-,-
10/31/1983,-,-,558,-,537,-,-
9/30/1983,-,-,554,-,542,-,-
8/31/1983,-,-,549,-,535,-,-
7/31/1983,-,-,541,-,521,-,-
6/30/1983,-,-,533,-,509,-,-
5/31/1983,-,-,521,-,500,-,-
4/30/1983,-,-,508,-,489,-,-
3/31/1983,-,-,502,-,488,-,-
2/28/1983,-,-,500,-,482,-,-
1/31/1983,-,-,495,-,475,-,-
12/31/1982,-,-,497,-,478,-,-
11/30/1982,-,-,496,-,480,-,-
10/31/1982,-,-,491,-,476,-,-
9/30/1982,-,-,489,-,477,-,-
8/31/1982,-,-,488,-,470,-,-
7/31/1982,-,-,478,-,453,-,-
6/30/1982,-,-,470,-,443,-,-
5/31/1982,-,-,462,-,439,-,-
4/30/1982,-,-,459,-,440,-,-
3/31/1982,-,-,457,-,440,-,-
2/28/1982,-,-,458,-,445,-,-
1/31/1982,-,-,459,-,451,-,-
12/31/1981,-,-,460,-,454,-,-
11/30/1981,-,-,462,-,460,-,-
10/31/1981,-,-,460,-,460,-,-
9/30/1981,-,-,456,-,457,-,-
8/31/1981,-,-,454,-,451,-,-
7/31/1981,-,-,447,-,439,-,-
6/30/1981,-,-,439,-,429,-,-
5/31/1981,-,-,433,-,425,-,-
4/30/1981,-,-,427,-,420,-,-
3/31/1981,-,-,420,-,419,-,-
2/28/1981,-,-,418,-,414,-,-
1/31/1981,-,-,411,-,404,-,-
12/31/1980,-,-,408,-,408,-,-
11/30/1980,-,-,411,-,407,-,-
10/31/1980,-,-,406,-,402,-,-
9/30/1980,-,-,402,-,399,-,-
8/31/1980,-,-,397,-,398,-,-
7/31/1980,-,-,394,-,388,-,-
6/30/1980,-,-,386,-,376,-,-
5/31/1980,-,-,382,-,366,-,-
4/30/1980,-,-,375,-,362,-,-
3/31/1980,-,-,373,-,364,-,-
2/29/1980,-,-,369,-,361,-,-
1/31/1980,-,-,371,-,370,-,-
12/31/1979,-,-,374,-,370,-,-
11/30/1979,-,-,368,-,364,-,-
10/31/1979,-,-,365,-,360,-,-
9/30/1979,-,-,363,-,350,-,-
8/31/1979,-,-,360,-,342,-,-
7/31/1979,-,-,353,-,330,-,-
6/30/1979,-,-,345,-,318,-,-
5/31/1979,-,-,339,-,314,-,-
4/30/1979,-,-,337,-,313,-,-
3/31/1979,-,-,332,-,310,-,-
2/28/1979,-,-,329,-,312,-,-
1/31/1979,-,-,332,-,315,-,-
12/31/1978,-,-,335,-,318,-,-
11/30/1978,-,-,340,-,325,-,-
10/31/1978,-,-,340,-,325,-,-
9/30/1978,-,-,336,-,321,-,-
8/31/1978,-,-,331,-,320,-,-
7/31/1978,-,-,330,-,318,-,-
6/30/1978,-,-,327,-,312,-,-
5/31/1978,-,-,323,-,310,-,-
4/30/1978,-,-,322,-,313,-,-
3/31/1978,-,-,321,-,318,-,-
2/28/1978,-,-,320,-,318,-,-
1/31/1978,-,-,325,-,325,-,-
12/31/1977,-,-,330,-,330,-,-
11/30/1977,-,-,330,-,329,-,-
10/31/1977,-,-,330,-,334,-,-
9/30/1977,-,-,331,-,332,-,-
8/31/1977,-,-,327,-,330,-,-
7/31/1977,-,-,325,-,325,-,-
6/30/1977,-,-,320,-,319,-,-
5/31/1977,-,-,318,-,314,-,-
4/30/1977,-,-,313,-,310,-,-
3/31/1977,-,-,312,-,311,-,-
2/28/1977,-,-,310,-,302,-,-
1/31/1977,-,-,307,-,298,-,-
12/31/1976,-,-,306,-,297,-,-
11/30/1976,-,-,306,-,296,-,-
10/31/1976,-,-,304,-,294,-,-
9/30/1976,-,-,302,-,295,-,-
8/31/1976,-,-,298,-,295,-,-
7/31/1976,-,-,297,-,289,-,-
6/30/1976,-,-,291,-,280,-,-
5/31/1976,-,-,290,-,281,-,-
4/30/1976,-,-,289,-,278,-,-
3/31/1976,-,-,286,-,279,-,-
2/29/1976,-,-,290,-,292,-,-
1/31/1976,-,-,298,-,302,-,-
12/31/1975,-,-,306,-,316,-,-
11/30/1975,-,-,315,-,332,-,-
10/31/1975,-,-,316,-,344,-,-
9/30/1975,-,-,319,-,360,-,-
8/31/1975,-,-,321,-,365,-,-
7/31/1975,-,-,324,-,374,-,-
6/30/1975,-,-,328,-,375,-,-
5/31/1975,-,-,327,-,372,-,-
4/30/1975,-,-,323,-,367,-,-
3/31/1975,-,-,321,-,373,-,-
2/28/1975,-,-,325,-,375,-,-
1/31/1975,-,-,326,-,369,-,-
12/31/1974,-,-,326,-,365,-,-
11/30/1974,-,-,331,-,378,-,-
10/31/1974,-,-,335,-,385,-,-
9/30/1974,-,-,334,-,370,-,-
8/31/1974,-,-,321,-,351,-,-
7/31/1974,-,-,311,-,337,-,-
6/30/1974,-,-,301,-,321,-,-
5/31/1974,-,-,294,-,314,-,-
4/30/1974,-,-,283,-,307,-,-
3/31/1974,-,-,275,-,297,-,-
2/28/1974,-,-,267,-,286,-,-
1/31/1974,-,-,264,-,279,-,-
12/31/1973,-,-,260,-,272,-,-
11/30/1973,-,-,259,-,272,-,-
10/31/1973,-,-,254,-,266,-,-
9/30/1973,-,-,248,-,263,-,-
8/31/1973,-,-,247,-,265,-,-
7/31/1973,-,-,243,-,249,-,-
6/30/1973,-,-,233,-,242,-,-
5/31/1973,-,-,228,-,237,-,-
4/30/1973,-,-,221,-,230,-,-
3/31/1973,-,-,216,-,229,-,-
2/28/1973,-,-,213,-,223,-,-
1/31/1973,-,-,210,-,221,-,-
12/31/1972,-,-,210,-,221,-,-
11/30/1972,-,-,210,-,222,-,-
10/31/1972,-,-,209,-,223,-,-
9/30/1972,-,-,208,-,223,-,-
8/31/1972,-,-,207,-,221,-,-
7/31/1972,-,-,205,-,212,-,-
6/30/1972,-,-,201,-,204,-,-
5/31/1972,-,-,196,-,200,-,-
4/30/1972,-,-,195,-,200,-,-
3/31/1972,-,-,194,-,200,-,-
2/29/1972,-,-,193,-,200,-,-
1/31/1972,-,-,194,-,200,-,-
12/31/1971,-,-,195,-,199,-,-
11/30/1971,-,-,197,-,201,-,-
10/31/1971,-,-,196,-,201,-,-
9/30/1971,-,-,196,-,201,-,-
8/31/1971,-,-,194,-,197,-,-
7/31/1971,-,-,190,-,193,-,-
6/30/1971,-,-,187,-,189,-,-
5/31/1971,-,-,184,-,187,-,-
4/30/1971,-,-,184,-,187,-,-
3/31/1971,-,-,184,-,187,-,-
2/28/1971,-,-,184,-,188,-,-
1/31/1971,-,-,184,-,188,-,-
12/31/1970,-,-,186,-,190,-,-
11/30/1970,-,-,189,-,194,-,-
10/31/1970,-,-,189,-,196,-,-
9/30/1970,-,-,188,-,197,-,-
8/31/1970,-,-,187,-,198,-,-
7/31/1970,-,-,186,-,198,-,-
6/30/1970,-,-,185,-,196,-,-
5/31/1970,-,-,183,-,193,-,-
4/30/1970,-,-,181,-,193,-,-
3/31/1970,-,-,179,-,193,-,-
2/28/1970,-,-,177,-,192,-,-
1/31/1970,-,-,177,-,191,-,-
12/31/1969,-,-,177,-,189,-,-
11/30/1969,-,-,177,-,191,-,-
10/31/1969,-,-,178,-,194,-,-
9/30/1969,-,-,179,-,196,-,-
8/31/1969,-,-,179,-,194,-,-
7/31/1969,-,-,179,-,192,-,-
6/30/1969,-,-,178,-,186,-,-
5/31/1969,-,-,173,-,181,-,-
4/30/1969,-,-,171,-,180,-,-
3/31/1969,-,-,170,-,178,-,-
2/28/1969,-,-,169,-,177,-,-
1/31/1969,-,-,170,-,178,-,-
12/31/1968,-,-,171,-,182,-,-
11/30/1968,-,-,176,-,189,-,-
10/31/1968,-,-,180,-,195,-,-
9/30/1968,-,-,179,-,195,-,-
8/31/1968,-,-,178,-,192,-,-
7/31/1968,-,-,-,-,190,-,-
6/30/1968,-,-,-,-,191,-,-
5/31/1968,-,-,-,-,189,-,-
4/30/1968,-,-,-,-,190,-,-
3/31/1968,-,-,-,-,193,-,-
2/29/1968,-,-,-,-,199,-,-
1/31/1968,-,-,-,-,200,-,-
12/31/1967,-,-,-,-,206,-,-
11/30/1967,-,-,-,-,215,-,-
10/31/1967,-,-,-,-,220,-,-
9/30/1967,-,-,-,-,221,-,-
8/31/1967,-,-,-,-,224,-,-
7/31/1967,-,-,-,-,222,-,-
6/30/1967,-,-,-,-,207,-,-
5/31/1967,-,-,-,-,199,-,-
4/30/1967,-,-,-,-,195,-,-
3/31/1967,-,-,-,-,195,-,-
2/28/1967,-,-,-,-,195,-,-
1/31/1967,-,-,-,-,189,-,-
12/31/1966,-,-,-,-,189,-,-
11/30/1966,-,-,-,-,187,-,-
10/31/1966,-,-,-,-,183,-,-
9/30/1966,-,-,-,-,182,-,-
8/31/1966,-,-,-,-,181,-,-
7/31/1966,-,-,-,-,176,-,-
6/30/1966,-,-,-,-,170,-,-
5/31/1966,-,-,-,-,164,-,-
4/30/1966,-,-,-,-,159,-,-
